ダウンロードした時刻：2023/04/26 11:16:50

,,東京,東京,東京,東京,東京,東京,東京,東京,東京
年,月,平均気温(℃),平均気温(℃),平均気温(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃)
,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2016,4,15.4,8,1,20.3,8,1,11.3,8,1
2016,5,20.2,8,1,25.2,8,1,15.7,8,1
2016,6,22.4,8,1,26.3,8,1,19.1,8,1
2016,7,25.4,8,1,29.7,8,1,22.1,8,1
2016,8,27.1,8,1,31.6,8,1,23.9,8,1
2016,9,24.4,8,1,27.7,8,1,21.9,8,1
2016,10,18.7,8,1,22.6,8,1,15.3,8,1
2016,11,11.4,8,1,15.5,8,1,8.1,8,1
2016,12,8.9,8,1,13.8,8,1,4.5,8,1
2017,1,5.8,8,1,10.8,8,1,1.7,8,1
2017,2,6.9,8,1,12.1,8,1,2.6,8,1
2017,3,8.5,8,1,13.4,8,1,4.2,8,1
2017,4,14.7,8,1,19.9,8,1,10.2,8,1
2017,5,20.0,8,1,25.1,8,1,16.0,8,1
2017,6,22.0,8,1,26.4,8,1,18.5,8,1
2017,7,27.3,8,1,31.8,8,1,24.0,8,1
2017,8,26.4,8,1,30.4,8,1,23.4,8,1
2017,9,22.8,8,1,26.8,8,1,19.5,8,1
2017,10,16.8,8,1,20.1,8,1,14.2,8,1
2017,11,11.9,8,1,16.6,8,1,7.9,8,1
2017,12,6.6,8,1,11.1,8,1,2.7,8,1
2018,1,4.7,8,1,9.4,8,1,0.6,8,1
2018,2,5.4,8,1,10.1,8,1,1.3,8,1
2018,3,11.5,8,1,16.9,8,1,6.5,8,1
2018,4,17.0,8,1,22.1,8,1,12.4,8,1
2018,5,19.8,8,1,24.6,8,1,15.4,8,1
2018,6,22.4,8,1,26.6,8,1,19.1,8,1
2018,7,28.3,8,1,32.7,8,1,25.0,8,1
2018,8,28.1,8,1,32.5,8,1,24.6,8,1
2018,9,22.9,8,1,26.6,8,1,19.9,8,1
2018,10,19.1,8,1,23.0,8,1,15.8,8,1
2018,11,14.0,8,1,17.7,8,1,10.6,8,1
2018,12,8.3,8,1,12.1,8,1,4.7,8,1
2019,1,5.6,8,1,10.3,8,1,1.4,8,1
2019,2,7.2,8,1,11.6,8,1,3.3,8,1
2019,3,10.6,8,1,15.4,8,1,6.2,8,1
2019,4,13.6,8,1,19.0,8,1,9.2,8,1
2019,5,20.0,8,1,25.3,8,1,15.3,8,1
2019,6,21.8,8,1,25.8,8,1,18.5,8,1
2019,7,24.1,8,1,27.5,8,1,21.6,8,1
2019,8,28.4,8,1,32.8,8,1,25.2,8,1
2019,9,25.1,8,1,29.4,8,1,21.7,8,1
2019,10,19.4,8,1,23.3,8,1,16.4,8,1
2019,11,13.1,8,1,17.7,8,1,9.3,8,1
2019,12,8.5,8,1,12.6,8,1,5.2,8,1
2020,1,7.1,8,1,11.1,8,1,3.7,8,1
2020,2,8.3,8,1,13.3,8,1,4.0,8,1
2020,3,10.7,8,1,16.0,8,1,6.2,8,1
2020,4,12.8,8,1,18.2,8,1,7.9,8,1
2020,5,19.5,8,1,24.0,8,1,15.6,8,1
2020,6,23.2,8,1,27.5,8,1,19.8,8,1
2020,7,24.3,8,1,27.7,8,1,21.8,8,1
2020,8,29.1,8,1,34.1,8,1,25.3,8,1
2020,9,24.2,8,1,28.1,8,1,21.5,8,1
2020,10,17.5,8,1,21.4,8,1,14.4,8,1
2020,11,14.0,8,1,18.6,8,1,10.1,8,1
2020,12,7.7,8,1,12.3,8,1,3.7,8,1
2021,1,5.4,8,1,10.3,8,1,1.3,8,1
2021,2,8.5,8,1,14.0,8,1,3.3,8,1
2021,3,12.8,8,1,17.9,8,1,8.3,8,1
2021,4,15.1,8,1,20.6,8,1,10.3,8,1
2021,5,19.6,8,1,24.1,8,1,15.7,8,1
2021,6,22.7,8,1,27.3,8,1,19.4,8,1
2021,7,25.9,8,1,30.3,8,1,22.9,8,1
2021,8,27.4,8,1,31.6,8,1,24.3,8,1
2021,9,22.3,8,1,26.2,8,1,19.3,8,1
2021,10,18.2,8,1,22.7,8,1,14.7,8,1
2021,11,13.7,8,1,18.6,8,1,9.7,8,1
2021,12,7.9,8,1,12.5,8,1,4.0,8,1
2022,1,4.9,8,1,9.4,8,1,1.1,8,1
2022,2,5.2,8,1,10.5,8,1,1.1,8,1
2022,3,10.9,8,1,16.6,8,1,6.1,8,1
2022,4,15.3,8,1,20.2,8,1,11.1,8,1
2022,5,18.8,8,1,23.5,8,1,14.8,8,1
2022,6,23.0,8,1,27.6,8,1,19.6,8,1
2022,7,27.4,8,1,31.7,8,1,24.4,8,1
2022,8,27.5,8,1,32.0,8,1,24.3,8,1
2022,9,24.4,8,1,28.8,8,1,21.1,8,1
2022,10,17.2,8,1,21.5,8,1,13.8,8,1
2022,11,14.5,8,1,19.1,8,1,10.7,8,1
2022,12,7.5,8,1,12.2,8,1,3.7,8,1
2023,1,5.7,8,1,10.2,8,1,1.8,8,1
2023,2,7.3,8,1,12.1,8,1,3.0,8,1
